game_id,line_items,weight,Codacabana,eyay,TakeTheMoneyAndRun,error404 ai,Bin busy,Non Deterministic,Teamers,AsianSuperNerds,Oasis,Claims Renaissance,Alpha,TBD,Nullpointer Naan,Trust Nobody,OPUSMOPUS,harissa eagles,makalu
91,20,3.0,13126.7350,2710.7350,4925.0150,3089.1250,1104.4650,-831.8950,7269.3200,2635.7750,2380.5150,-8652.7400,-10957.7550,-1969.1800,-13721.9450,-1983.1400,-26046.9450,-26046.9450,-26046.9450
92,9,3.0,20695.5200,14752.4350,10670.6950,-129.7050,-3940.5450,8598.6600,9886.2750,-4703.0050,15492.1750,-15508.4050,-13653.7400,-8378.7250,-13355.4450,-25512.3150,-34311.5100,-34311.5100,-34311.5100
93,18,3.0,2577.6750,195.0800,841.5900,4566.2400,3719.7700,1823.3550,3663.0950,-3575.1700,1048.1250,-4115.0100,-1095.8450,-4384.8750,-106.0850,-1714.4000,-8898.9000,-8898.9000,-8898.9000
94,6,3.0,1309.3900,632.3000,103.5050,613.9000,2591.6450,1186.6800,1569.0100,-736.5450,-1098.5150,-1615.4600,46.7100,1223.2500,-2821.6900,-4701.4800,-6220.9650,-6220.9650,-6220.9650
95,8,3.0,20317.4750,25047.9100,15963.5550,9253.6000,10578.6400,12472.5150,3667.8450,-7609.3850,7557.0850,-9624.3550,-46069.1950,4945.1500,-17184.8000,-11098.2500,-61817.9850,-61817.9850,-61817.9850
96,5,3.0,6817.0600,8860.1600,10600.3500,-3034.6300,-2604.4900,13952.6800,5542.6950,-2854.7850,21604.7250,-10503.3950,-12780.6050,-11113.2700,-15602.4700,-13936.9700,-24383.2800,-24383.2800,-24383.2800
97,17,3.0,11375.2550,8139.6600,3598.9400,-666.1500,1676.5050,2810.4800,-20289.1050,1436.9200,10267.9800,-1343.0400,-13917.6150,-3055.0500,-20289.1050,7280.5200,-20289.1050,-20289.1050,-20289.1050
98,4,3.0,478.2200,682.4500,-1347.8700,-1888.8100,1313.8350,664.8100,-1430.2000,947.6900,424.1600,146.6650,1303.2100,31.3450,-467.2650,-1311.6000,-467.2650,-467.2650,-467.2650
99,22,3.0,2764.0550,12187.5750,17293.1400,-4934.1800,7237.4900,-7118.4350,-6395.2850,16323.1050,13225.8350,-7121.7150,4453.9650,-12983.4100,-25899.1650,-12679.2700,-25899.1650,-25899.1650,-25899.1650
100,3,3.0,-9257.5800,-3725.7600,26150.9900,-9537.1800,-15882.9000,-4463.3900,34319.7900,-31367.6700,44985.5950,-10008.5750,-1432.9050,-30784.0200,17523.2600,-24957.9000,-29382.9000,-29382.9000,-29382.9000
